,recommendationid,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,author.steamid,author.num_games_owned,author.num_reviews,author.playtime_forever,author.playtime_last_two_weeks,author.playtime_at_review,author.last_played
30,77073970,english,"I got to play the beta for this game way back in 2017, and I've since logged over 300 hours of playtime. While you should know that the game is more or less done with content, the stuff that's in the game is very fantastic. While there are some bugs here and there, there's nothing I can recall that's game breaking, rather more annoying than anything else. Community is, well, it's a Red Orchestra game, so expect the drudges of human society to show up. Overall, I'd say this game is an 8/10.

However, one thing I should note is that mod support is a little scuffed at the moment; essentially, servers cannot run stuff like the Winter War mod and the Gameplay Overhaul Mutator, without the server being unranked. So don't go into this expecting to play mods, at least for now.",1601899133,1601899133,True,1,0,0.514285683631896973,0,True,False,False,76561198056605655,211,10,22296,1517,22061,1602089658
31,77067758,english,"""Anti-Ass defenses are active!""",1601887226,1601887226,True,0,1,0,0,True,False,False,76561198063394916,79,16,12587,1006,12320,1602070405
32,76594767,english,"Bugged server menu (spamms connecting to random servers and can't stop it), bugged weapons (can't aim down sight or shoot, dshk disappearing when you die), bugged movement ( jumping over an object and going back, or lagging after you go prone), the game is not worth 20 euros nor are the people behind it. Can't deliver a product in conditions.",1601124349,1601875855,False,0,0,0,0,True,False,False,76561198394502123,8,3,78903,1678,78828,1601966756
33,76367836,english,"Bugs, bugs, BUGS. Janky as all fuck, for god knows how many years this has been out. Your character will get caught on the terrain, randomly lower their weapon, or get stuck and vibrate on the spot - going prone is especially bad for this, it's like playing the lottery. Select a grenade, wait no it didn't work, try again, nope, try again, ok now it's out, now I'm dead. Or better yet, throw it, but don't actually throw it, only to throw it at your feet/a wall/your teammates. Devs would rather release cosmetic DLC than un-fuck the game, and now have just abandoned. 

Many of the maps are just bad but will be picked over and over again *cough Resort and Cu-Chi cough* by the braindead community. The winning condition is convoluted as fuck - you'll be playing a game where you're ok for time, doing well on objectives, then suddenly run out of tickets, with the enemy team still having well over a hundred. Or you'll have tickets but run out of time. Or get locked out of capture point, which is on yet another timer. Moreover, playing on the objective isn't nearly incentivized enough, resulting in people going off into the bush to look for kills, then acting surprised when they lose all the points.

Community is terrible too, if you happen to be one of the actually fun roles to play, like pilot or sniper, you'll invariably get kicked because someone else wants to play that role. To add insult to injury, you can't even rejoin the same server for a while, you'll get a connection time out error. Only on League of Legends have I played with bigger shitheads.",1600760788,1601872463,False,0,0,0,0,True,False,False,76561197986316638,213,13,3701,642,3664,1601880499
34,39167019,english,"I've been meaning to change this for awhile

Problems I came across --
 
- Sliders in the class load out screen are sometimes clunky
- Resolution could be improved
- ""Invalid Packet"" Error

What I would like to see --

- More vehicles
- If possible, Fully destructible environments


Otherwise, Great game, Great community. It reminds me of BFBC2V.",1515366529,1601862993,True,0,0,0,0,True,False,False,76561198202982945,15,1,21983,1527,21831,1601949215
35,77052261,english,"Honestly, do not recommend. 
I've put a lot of time into the game and was I really enjoying this game? or missing RO2? I have to say it seems more of the latter. This game is filled to the brim with some of the most annoying issues and the Devs just abandoned it. Having to reload twice to be able to shoot again, having to throw the same grenade twice just to get it off once, RPGs used as anti infantry instead of anti helicopter, bipods in general, how all the maps boil down to being trees and bushes as the best cover because of RPGs. They promised land vehicles but none came. I would not recommend buying it at this time, the only thing I really enjoy about this game is the game mode campaign, and that more so because of RO2 than anything to do with this game.",1601855521,1601855521,False,1,0,0.476190477609634399,0,True,False,False,76561198034118845,462,6,17842,1739,17814,1601855857
36,67725795,english,I GOT BANNED FROM MY FAVORITE SERVER FROM SALTY ADMINS LOL NO OFFICIAL SERVERS FUCK THIS GAME,1587427172,1601854964,False,0,0,0,0,True,False,False,76561198088261628,140,73,8545,1079,8441,1602046676
37,77048971,english,Racist so its pretty good,1601849511,1601849511,True,0,0,0.476190477609634399,0,True,False,False,76561198139269347,147,7,1898,1768,1184,1602085154
38,77044804,english,"Go home G.I, play Rising Storm 2 Vietnam.",1601842842,1601842842,True,0,0,0,0,True,False,False,76561198353146916,129,15,4161,1112,4087,1601937526
39,77041448,english,Good to be back home :),1601838234,1601838234,True,0,0,0,0,True,False,False,76561198133825751,58,6,403,399,217,1602090943
40,77041199,english,"Some folks are born, made to wave the flag
Ooh, they're red, white and blue
And when the band plays ""Hail to the Chief""
Ooh, they point the cannon at you, Lord
It ain't me
It ain't me
I ain't no senator's son, son
It ain't me
It ain't me
I ain't no fortunate one, no
Some folks are born, silver spoon in hand
Lord, don't they help themselves, y'all
But when the taxman comes to the door
Lord, the house looks like a rummage sale, yeah
It ain't me
It ain't me
I ain't no millionaire's son, no, no
It ain't me
It ain't me
I ain't no fortunate one, no
Yeah, yeah
Some folks inherit star spangled eyes
Ooh, they send you down to war, Lord
And when you ask 'em, ""How much should we give?""
Ooh, they only answer ""More! More! More!"", Y'all
It ain't me
It ain't me
I ain't no military son, son
It ain't me
It ain't me
I ain't no fortunate one, one
It ain't me
It ain't me
I ain't no fortunate one, no, no, no
It ain't me
It ain't me
I ain't no fortunate son, no, no, no",1601837862,1601837862,True,1,2,0.523809552192687988,0,True,False,False,76561198073247078,78,11,2246,688,2082,1602033628
41,77038350,english,DEFEND THE RICE FIELDS WITH YOUR LIFE!!!!!,1601834232,1601834232,True,0,0,0,0,True,False,False,76561199070917669,9,4,1143,428,1112,1601836116
42,77035189,english,"What a shame !!

The game is pretty good, the concept is decent, a solid tactical shooter squad based game with a commander role with abilities, i cant say any bad things about the game except the outdated graphics and need for some optimization which clearly by now more than 3 years the developers abandoned the game, other than that the game is good.

HOWEVER; the player base is just ruining the game, most of the players are acting like call of duty players in a tactical game; rushing the map jumping like crazies and have 0 communication or commitment for team play and to squad leaders commands, which the game was created for !! 

Also i need to mention the roles being picked by player due to their computer power and connection speed to be faster in loading the map, so good luck getting any good class.

Reference to all that, unfortunately i cant recommend this good game due to its player base.",1601830359,1601830359,False,2,0,0.490125983953475952,0,True,False,False,76561197990887564,189,3,339,70,339,1601826321
43,76623424,english,this game is trash i got to play it for two weeks then out of know were i cant find any servers and the starting screen has fucked up version of a us marine that fucking blue and purple,1601158439,1601829528,False,0,0,0,0,True,False,False,76561199079471688,4,1,2325,872,2324,1601845252
44,77033535,english,Go Home GI,1601828243,1601828243,True,0,0,0,0,True,False,False,76561198798264966,60,7,2558,499,2494,1601848121
45,77024877,english,"vietcong soldiers voicer : ""chúng ta sẽ đánh đuổi đế quốc nga ra khỏi mảnh đất của chúng ta"" its mean ""we will drive the Russian empire out of our land"" and excuse me WTF is that ?",1601817632,1601818382,False,0,1,0,0,True,False,False,76561198390344543,14,1,2909,125,2909,1601371855
46,77016188,english,no i wont describe what i liked or disliked about this product.,1601804997,1601804997,True,0,2,0,0,True,False,False,76561198347665430,68,2,1976,742,1672,1601919280
47,77011230,english,Pretty fun but some of community takes it way too serious,1601796945,1601796945,True,0,0,0.476190477609634399,0,True,False,False,76561198346918298,28,1,806,806,192,1602042802
48,77006931,english,I really enjoy this game. its pretty fun,1601789123,1601789123,True,0,0,0,0,True,False,False,76561199070171339,13,4,848,26,848,1601789067
49,77006886,english,good,1601789020,1601789020,True,0,0,0,0,True,False,False,76561198106965881,60,3,1421,293,1127,1601960547
50,77006252,english,good game,1601787773,1601787773,True,0,0,0,0,True,False,False,76561198078895729,102,4,5155,33,5155,1601785182
51,46518254,english,M60 go brrrr,1542952203,1601784980,True,1,0,0,0,True,False,False,76561198304153203,12,2,72316,2673,71839,1602090607
52,77003921,english,has Owen Gun so good game,1601783468,1601783468,True,2,0,0.526315808296203613,0,True,False,False,76561198531193221,83,28,675,0,675,1559301739
53,77003878,english,Pog,1601783377,1601783377,True,0,0,0,0,True,False,False,76561198944783367,15,3,2188,164,2057,1601944673
54,77002338,english,"Is a good ol' time until you watch Billy burn alive in a poorly dropped Napalm.
",1601780756,1601780756,True,0,0,0,0,True,False,False,76561198262457283,73,16,4172,1332,2840,1602089495
55,76998188,english,our homes are safe!!!!!,1601773173,1601773173,True,0,0,0,0,True,False,False,76561198104813057,58,10,5537,370,5404,1601781118
56,76996887,english,go home g.i.,1601770723,1601770723,True,1,0,0.523809552192687988,0,True,False,False,76561198093949456,110,6,2160,2127,955,1602044115
57,76996616,english,fun,1601770240,1601770240,True,0,0,0,0,True,False,False,76561198171465785,25,1,1111,404,999,1601863460
58,76995823,english,the game will be free on epic games from Oct 08 to Oct15 get it you wont regret it,1601768868,1601768868,True,1,0,0.523809552192687988,0,True,False,False,76561198051001028,46,7,8142,296,8142,1601399349
59,76990300,english,Very nice yes yes,1601759924,1601759924,True,0,0,0,0,True,False,False,76561198987987723,9,1,1418,1418,688,1602016316
60,76988329,english,"can be quite a fun game but gets quite boring quickly, if you dont mind enjoying the fun while it lasts then go ahead spend your money on it. However the community can be quite toxic (the people u will be playing with) and with most RO games newbies arent really welcome in or players that want to improve on certain roles such as pilots.",1601757151,1601757151,False,0,0,0,0,True,False,False,76561198123768987,63,7,18340,240,18340,1601757039
61,76987140,english,"The game allows friendly fire and does not designate who is an enemy.

And since everyone can customize their toon, it makes it EXTREMELY hard to tell who you are shooting at.

The game has a lot of very promising ideas, but its just too frustrating to figure out who you are supposed to be shooting at.",1601755528,1601755528,False,1,0,0.418250977993011475,0,True,False,False,76561198030961604,108,14,68,52,68,1601609495
62,76978428,english,"""Welcome to Estalia gentlemen. I will not lie, the chances of your survival are small. Some may even turn against your friends as living corpses, but you have my word that I will use my arcane gifts to ensure your bodies are given unto Morr's Garden. This is the greatest reward, more than even gold, for the fate of your soul is an eternal concern. Now come, follow me. Strike down the undead that rise against us, allow me to find this eldritch amulet. I ask not for my own selfish studies, but for the good of the Empire.""",1601744339,1601744339,True,0,0,0,0,True,False,False,76561198029692311,65,22,3096,0,3096,1586829473
63,76974540,english,literally the worst gaming experience I've had since dad told me grandpa died in the middle of black ops zombies match,1601739530,1601739530,True,0,1,0,0,True,False,False,76561198027764897,271,16,2357,288,2357,1601739421
64,61165663,english,Vibes,1577997105,1601728686,True,3,0,0.548153519630432129,0,True,False,False,76561198137227489,49,26,6361,93,6361,1601054557
65,76964442,english,One of the Best Games I've ever played. I just love it a lot and recommend it to anyone who wants to try out a new shooter,1601726731,1601726731,True,0,0,0,0,True,False,False,76561198069397464,385,16,8875,39,8875,1601073533
66,76952139,english,"amazing hyper realistic shooter, great community (depending on country) and awesome gameplay, if you like realistic fps games you will like this",1601707271,1601707271,True,0,0,0,0,True,False,False,76561198377055999,5,2,2948,248,2934,1601885583
67,76951523,english,"haha BARAJ IMBOUD TAIK COBER

haha YUUUUUUUUUUUUUUUUH

haha tamali this is charlie foxtrot whatever the hell we're called and we're requesting one of your fast movers

haha SOMEBODY KILL THAT ASSHOLE

haha the enemy is running out of time",1601706081,1601706081,True,2,1,0.525395512580871582,0,True,False,False,76561198190678785,125,20,4404,161,4404,1601496822
68,76951235,english,"This is a very good game, highly recommend. Gonna get 200 hours in this like Insurgency I hope.",1601705510,1601705510,True,0,0,0,0,True,False,False,76561198120684348,110,54,905,819,776,1601760276
69,76950999,english,Best multiplayer war game I've ever played,1601705092,1601705092,True,0,0,0,0,True,False,False,76561198168778604,43,1,5392,608,5323,1601790992
70,76949738,english,i love being commander slave,1601702794,1601702794,True,0,0,0,0,True,False,False,76561198394552305,43,4,1918,1016,1738,1602075091
71,76947189,english,Very fun game if you love the Vietnam War. The screams of injured solders is a little disturbing to listen too though.,1601698043,1601698043,True,0,0,0,0,True,False,False,76561199033648686,12,8,1169,1096,1134,1601700035
72,76947070,english,"rising storm vietnam 2 is one of those games where time is irrelevant because I swear 2 hours in this game happens in 3 minutes, outstanding and competitive game",1601697810,1601697810,True,0,0,0,0,True,False,False,76561198815570655,44,20,1748,0,1748,1597906673
73,76940809,english,"You will not like this game if you are not decent at FPS Games, This is a brutally ""Realistic"" historical shooter that rewards team gameplay heavily, Select roles, lots of authentic weapons and the best part of all, Make your own Vietnam era soldier, South or North. gunplay feels great and the game is way less buggy than the previous, can reccomend 100%",1601686688,1601686688,True,0,0,0,0,True,False,False,76561198210894876,69,16,2342,714,1993,1602051994
74,76940186,english,"very action packed and fun, its a shame more people don't know about this game. If your'e into COD I'd definitely give it a shot!",1601685531,1601685531,True,0,0,0,0,True,False,False,76561199085189514,2,1,4891,1608,4479,1601958940
75,76939141,english,Squad based shooter with no party or squad system prior to joining a server.,1601683691,1601683691,False,0,0,0.47826087474822998,0,True,False,False,76561198013924906,218,25,225,194,160,1601686588
76,76935640,english,"If you want to play a game that you sit back, relax and play this isn't it. This game is unforgiving and will take some time to learn.",1601677569,1601677569,True,0,0,0,0,True,False,False,76561198209521489,63,1,2550,1873,2117,1601713157
77,76935286,english,get fucked charles,1601676985,1601676985,True,0,0,0,0,True,False,False,76561198046505599,363,5,5220,929,4664,1601970828
78,76933548,english,"I love this game bb UwU
",1601674158,1601674158,True,0,0,0,0,True,False,False,76561198076230407,232,48,3051,120,2931,1601748674
79,76933129,english,YOU RUNNING SCARED CHARLIE ????????????????????????????????????????????????????????????????????????????????????,1601673468,1601673468,True,0,0,0,0,True,False,False,76561198061386399,244,19,2701,0,2701,1590640595
80,73449255,english,"Great Game. Level 95 at this point. Very addictive.  If you want a good experience, stay away from RD 24/7 RESORT SERVER. The admins are young immature kids who hack and cheat. Very toxic behavior. They will boot you from server for no reason other than immaturity",1595999658,1601667201,True,2,0,0.523809552192687988,0,True,False,False,76561198074263198,72,2,133850,2051,133074,1602079241
81,76925795,english,I KILL GI! GI SMALL PP,1601663541,1601663541,True,0,0,0,0,True,False,False,76561198203997223,47,4,2803,2803,1815,1602039442
82,76923658,english,awesome experience,1601660779,1601660779,True,0,0,0,0,True,False,False,76561198012073071,55,1,1794,1558,1139,1602089614
83,76921035,english,very good game nice graphics nice gameplay and perfect TTK,1601657573,1601657573,True,0,0,0,0,True,False,False,76561198389775773,46,14,8374,952,8169,1602057651
84,76914092,english,Good game and great community,1601648830,1601648830,True,0,0,0,0,True,True,False,76561198354580809,20,2,6748,277,6687,1602090083
85,76913252,english,"Challenging, but fun with friends.",1601647713,1601647713,True,0,0,0,0,True,False,False,76561198038739800,174,10,2089,323,1964,1601765977
86,76912364,english,Great Game!,1601646524,1601646524,True,0,0,0,0,True,False,False,76561197982170094,172,3,8265,813,7717,1601848887
87,76905969,english,when that flanking flamethrower guy stepped on your punji,1601636090,1601636981,True,0,0,0,0,True,False,False,76561198188187390,160,12,5661,31,5630,1601639541
88,76899225,english,You can kill a lot of communists in this game,1601623146,1601623146,True,0,0,0,0,True,False,False,76561198068277024,68,10,11778,0,11778,1568928694
89,76893124,english,"Ive played pretty much everything ""shooter"" related but this game is 1000000000000000000% the perfect mix of real and arcade filled chaos 10/10
",1601611271,1601611271,True,0,0,0,0,True,False,False,76561198990132197,44,1,2410,1793,1902,1602052495
90,76891887,english,"yes
",1601608637,1601608637,True,0,0,0,0,True,False,False,76561198153545941,64,8,9316,141,9276,1601709826
91,76890301,english,Anti ASS Defenses are active,1601605495,1601605495,True,0,0,0,0,True,False,False,76561198196346509,13,1,2855,344,2613,1602065178
92,53155867,english,"It's like CoD, Battlefield and Squad had some kind of buggy, orgy baby together. 

I love it.",1562075724,1601605249,True,1,0,0.523809552192687988,0,True,False,False,76561198862386180,250,4,74669,1760,74135,1602022441
93,76889097,english,a great balance between realisim and arcade,1601603222,1601603222,True,0,0,0,0,True,False,False,76561198880557169,28,1,1877,1877,1210,1602067297
94,76888501,english,good game,1601602092,1601602092,True,0,0,0,0,True,False,False,76561198053767673,94,4,6342,28,6332,1601602670
95,76887908,english,o0o0o0o,1601600899,1601600899,True,0,0,0,0,True,False,False,76561198186917394,18,7,4580,4580,2214,1602013274
96,76886745,english,A very good game. Unfortunately devs left or something but the game itself is still good.,1601598508,1601598508,True,1,0,0.523809552192687988,0,True,False,False,76561198263298226,27,1,9647,0,9647,1597352935
97,76886489,english,gives ptsd would play again,1601597885,1601597885,True,0,0,0,0,True,False,False,76561198274743717,61,7,7732,1013,6901,1601950730
98,76883415,english,They're in the trees man!!!,1601591320,1601591417,True,0,0,0,0,True,False,False,76561198021264742,243,11,2100,149,1950,1601609656
99,76881198,english,"simple, fun game",1601587078,1601587078,True,0,0,0,0,True,False,False,76561198370495114,43,5,1004,269,864,1601743904
0,76880200,english,"Great game overall, really good gunplay apart from when the SKS reload animation doesn't go through and i want too put a hole in my screen. nailed the realism when going through the jungles, get scared s***less when a half naked Vietnamese guy knifes you in the gut :)",1601585389,1601585389,True,0,0,0,0,True,False,False,76561199045354304,5,1,421,325,394,1601839486
1,76879432,english,bing bong ming mao as my friend says,1601584048,1601584048,True,0,0,0,0,True,False,False,76561198302704135,82,13,354,38,316,1601586315
2,76876768,english,Epic Cash Money love it when the trees talk veitnamese,1601580095,1601580095,True,0,0,0,0,True,False,False,76561198361191622,44,14,154,0,154,1600703548
3,76875627,english,An excellent example of how a War game should be setup.,1601578546,1601578546,True,0,0,0,0,True,False,False,76561197965770637,149,1,51023,1499,50402,1602024560
4,76874525,english,Poorly aged graphics and gameplay that's nowhere near as fun as Insurgency. This game just feels like a drag.,1601576987,1601576987,False,1,0,0.47413790225982666,0,True,False,False,76561198063184762,173,3,286,0,286,1593766673
5,76869090,english,"""their in the trees""

10/10",1601569787,1601569787,True,0,0,0,0,True,False,False,76561198371319288,29,1,17962,23,17938,1601572140
6,76860942,english,"Good Game
",1601558780,1601558780,True,0,0,0,0,True,False,False,76561198400119693,45,5,1999,67,1936,1601629983
7,76856841,english,"as long as you dont get mad when you die to something you cant see, the learning curve for this game isnt that painful. then its just pure clean tactics and killin jippos. the shooting feels great, the maps are built well, the gamemodes are fun. the quick match function doesnt seem to work rn but its not very hard to find a server manually at all",1601551708,1601551708,True,0,0,0,0,True,False,False,76561198100948878,163,10,2821,690,2441,1602089895
8,76850844,english,"Này Công Dân ơi! Quốc gia đến ngày giải phóng
Đồng lòng cùng đi hy sinh tiếc gì thân sống.
Vì tương lai Quốc Dân, cùng xông pha khói tên,
Làm sao cho núi sông từ nay luôn vững bền.
Dù cho thây phơi trên gươm giáo,
Thù nước, lấy máu đào đem báo.
Nòi giống lúc biến phải cần giải nguy,
Người Công Dân luôn vững bền tâm trí.
Hùng tráng quyết chiến đấu làm cho khắp nơi
Vang tiếng người nước Nam cho đến muôn đời!
Công Dân ơi! Mau hiến thân dưới cờ!
Công Dân ơi! Mau làm cho cõi bờ
Thoát cơn tàn phá, vẻ vang nòi giống
Xứng danh nghìn năm dòng giống Lạc Hồng!",1601539089,1601539199,True,0,0,0,0,True,False,False,76561198099160920,47,1,13187,2704,11528,1602087738
9,76840127,english,"BE ADVISED WE'VE GOT ZIPS IN THE WIRE DOWN HERE!!!
",1601516963,1601516963,True,1,0,0.523809552192687988,0,True,False,False,76561198382260609,52,3,5427,7,5427,1601086783
10,76831937,english,verynice PTSD simulator,1601501248,1601501248,True,1,0,0.523809552192687988,0,True,False,False,76561198075703054,109,1,304,170,228,1601505794
11,76827988,english,"Despite playing the same map hundreds of times, every game offers a different experience. The graphics, despite being an older release, are still amazing today. There are so many different ways to enjoy this game and you won't feel sad getting killed by a higher level because ranking up only unlocks cosmetic items. The detail put into the maps put games today to shame. If you're into FPS games and/or history, this game will feel right at home in your steam library.",1601495072,1601495072,True,0,0,0,0,True,False,False,76561198355001044,16,4,5141,703,5085,1602049242
